Date,Time,HostCPU%,HostMem%,Bytes_Sent,Bytes_Recv,Packets_Sent,Packets_Recv,Clients
10/9/2019,19:08:44,0.3,1.4,54075,19027,287,291,4
10/9/2019,19:08:45,0.3,1.4,33750,14181,193,195,4
10/9/2019,19:08:46,0.1,1.4,3894,1388,36,17,4
10/9/2019,19:08:47,0.7,1.4,33983,16473,259,251,4
10/9/2019,19:08:48,0.1,1.4,128,128,2,2,4
10/9/2019,19:08:49,0.2,1.4,451,936,7,10,4
10/9/2019,19:08:50,0.1,1.4,0,64,0,1,4
10/9/2019,19:08:51,0.1,1.4,201,562,3,5,4
10/9/2019,19:08:52,0.1,1.4,246,380,2,5,4
10/9/2019,19:08:53,0.1,1.4,128,315,2,4,4
10/9/2019,19:08:54,0,1.4,451,448,7,7,4
10/9/2019,19:08:55,0.1,1.4,0,187,0,2,4
10/9/2019,19:08:56,0.1,1.4,329,450,5,7,4
10/9/2019,19:08:57,0.1,1.4,0,123,0,1,4
10/9/2019,19:08:58,0.1,1.4,199,386,3,7,4
10/9/2019,19:08:59,0.2,1.4,65931,9286,133,138,5
10/9/2019,19:09:00,0.1,1.4,21920,6547,90,88,5
10/9/2019,19:09:01,0.1,1.4,128,315,2,4,5
10/9/2019,19:09:02,0.3,1.4,44875,14834,243,235,5
10/9/2019,19:09:03,0.4,1.4,42911,16341,237,245,5
10/9/2019,19:09:04,0,1.4,580,640,9,10,5
10/9/2019,19:09:05,0.1,1.4,2612,1355,17,20,5
10/9/2019,19:09:06,0.5,1.4,452,512,7,8,5
10/9/2019,19:09:07,0.3,1.4,5172,2501,52,34,5
10/9/2019,19:09:08,0.1,1.4,912,606,10,9,5
10/9/2019,19:09:09,0.1,1.4,860,1019,13,15,5
10/9/2019,19:09:10,0.1,1.4,0,0,0,0,5
10/9/2019,19:09:11,0.1,1.4,128,315,2,4,5
10/9/2019,19:09:12,0.1,1.4,268,320,4,5,5
10/9/2019,19:09:13,0.1,1.4,64,315,1,5,5
10/9/2019,19:09:14,0.1,1.4,580,640,9,9,5
10/9/2019,19:09:15,0,1.4,0,1849,0,7,5
10/9/2019,19:09:16,0.1,1.4,128,686,2,5,5
10/9/2019,19:09:17,0.2,1.4,828,955,12,14,5
10/9/2019,19:09:18,0.1,1.4,64,432,1,6,5
10/9/2019,19:09:19,0.2,1.4,580,1128,9,13,5
10/9/2019,19:09:20,0.1,1.4,0,1218,0,9,5
10/9/2019,19:09:21,0.2,1.4,128,251,2,3,5
10/9/2019,19:09:22,0.1,1.4,0,0,0,0,5
10/9/2019,19:09:23,0.1,1.4,460,637,7,9,5
10/9/2019,19:09:24,0.1,1.4,1802,1632,15,19,5
10/9/2019,19:09:25,0.2,1.4,65486,8600,126,129,5
10/9/2019,19:09:26,0.1,1.4,128,192,2,3,6
10/9/2019,19:09:27,0.1,1.4,16480,3973,71,60,6
10/9/2019,19:09:28,0.1,1.4,3402,1170,33,15,6
10/9/2019,19:09:29,0.8,1.4,103794,33233,550,512,6
10/9/2019,19:09:30,0.9,1.4,71703,22832,353,324,6
10/9/2019,19:09:31,0.1,1.4,6070,1323,55,15,6
10/9/2019,19:09:32,0.1,1.4,5303,1196,47,14,6
10/9/2019,19:09:33,0.5,1.4,21656,6185,133,90,6
10/9/2019,19:09:34,0.4,1.4,16573,4658,111,67,6
10/9/2019,19:09:35,0.3,1.4,12337,4049,91,57,6
10/9/2019,19:09:36,0.2,1.4,6843,1518,59,19,6
10/9/2019,19:09:37,0.1,1.4,1917,567,18,7,6
10/9/2019,19:09:38,0.3,1.4,7945,3030,42,46,6
10/9/2019,19:09:39,0.1,1.4,980,1083,15,16,6
10/9/2019,19:09:40,0.1,1.4,4424,2556,12,21,6
10/9/2019,19:09:41,0.2,1.4,65742,8856,130,133,7
10/9/2019,19:09:42,0.1,1.4,32161,9080,176,133,7
10/9/2019,19:09:43,2.2,1.4,7737,5035,69,47,7
10/9/2019,19:09:44,1.4,1.4,128353,56920,693,743,7
10/9/2019,19:09:45,0.1,1.4,3933,2949,34,21,7
10/9/2019,19:09:46,0.3,1.4,32116,9538,198,143,6
10/9/2019,19:09:47,0.6,1.4,30696,10545,190,157,6
10/9/2019,19:09:48,0.4,1.4,6126,1198,54,14,6
10/9/2019,19:09:49,0.4,1.4,7356,2844,68,35,6
10/9/2019,19:09:50,0.1,1.4,5296,1459,47,18,6
10/9/2019,19:09:51,0.2,1.4,71844,9985,185,146,6
10/9/2019,19:09:52,0.7,1.4,82528,24656,433,374,7
10/9/2019,19:09:53,0.6,1.4,69551,21979,363,334,7
10/9/2019,19:09:54,0.3,1.4,3636,1882,42,28,7
10/9/2019,19:09:55,0.2,1.4,128,251,2,3,7
10/9/2019,19:09:56,0.2,1.4,582,576,9,9,7
10/9/2019,19:09:57,0,1.4,1508,439,14,5,7
10/9/2019,19:09:58,0.2,1.4,5453,1646,48,22,7
10/9/2019,19:09:59,0,1.4,7610,1831,71,23,7
10/9/2019,19:10:00,0.3,1.4,37003,11296,196,160,7
10/9/2019,19:10:01,0.1,1.4,7028,1225,62,14,7
10/9/2019,19:10:02,0.4,1.4,9187,2466,71,34,7
10/9/2019,19:10:03,0.1,1.4,7654,1191,67,13,7
10/9/2019,19:10:04,0,1.4,774,832,12,13,7
10/9/2019,19:10:05,0.3,1.4,7312,2063,69,27,7
10/9/2019,19:10:06,0.1,1.4,4128,1204,39,16,7
10/9/2019,19:10:07,0.4,1.4,65614,8792,128,132,7
10/9/2019,19:10:08,0.1,1.4,23794,5746,109,87,8
10/9/2019,19:10:09,0.7,1.4,60337,15773,290,238,8
10/9/2019,19:10:10,0.4,1.4,2463,990,27,15,8
10/9/2019,19:10:11,0.1,1.4,128,315,2,4,8
10/9/2019,19:10:12,0.1,1.4,2052,586,19,8,8
10/9/2019,19:10:13,0.1,1.4,1779,957,11,14,8
10/9/2019,19:10:14,0.2,1.4,839,2622,13,20,8
10/9/2019,19:10:15,0,1.4,3476,947,32,12,8
10/9/2019,19:10:16,0.5,1.4,40051,9684,227,149,8
